,Provider,State,Weight,Technology,Download Bandwidth Mbps ,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread,Regression Data
0,3 Rooms Communications LLC,Texas,1310.0,Fixed wireless,3.0,1.0,Unlimited,39.99,0.0,0.0,39.99,0.0,Yes
1,3 Rooms Communications LLC,Texas,1310.0,Fixed wireless,5.0,1.0,Unlimited,49.99,0.0,0.0,49.99,0.0,Yes
2,3 Rooms Communications LLC,Texas,1310.0,Fixed wireless,9.0,1.0,Unlimited,59.99,0.0,0.0,59.99,0.0,Yes
3,3 Rooms Communications LLC,Texas,1310.0,Fixed wireless,18.0,2.0,Unlimited,99.99,0.0,0.0,99.99,0.0,Yes
4,4 SIWI LLC,Illinois,612.333333333,Fixed wireless,0.25,0.25,Unlimited,39.95,0.0,0.0,39.95,0.0,No
5,4 SIWI LLC,Illinois,306.166666667,Fixed wireless,0.75,0.25,Unlimited,49.95,0.0,0.0,49.95,0.0,No
6,4 SIWI LLC,Illinois,306.166666667,Fixed wireless,0.75,0.5,Unlimited,39.95,0.0,0.0,39.95,0.0,No
7,4 SIWI LLC,Illinois,306.166666667,Fixed wireless,1.5,0.5,Unlimited,49.95,0.0,0.0,49.95,0.0,No
8,4 SIWI LLC,Illinois,306.166666667,Fixed wireless,1.5,0.5,Unlimited,59.95,0.0,0.0,59.95,0.0,No
9,4 SIWI LLC,Illinois,306.166666667,Fixed wireless,3.0,0.5,Unlimited,69.95,0.0,0.0,69.95,0.0,Yes
10,4 SIWI LLC,Illinois,306.166666667,Fixed wireless,3.0,1.5,Unlimited,59.95,0.0,0.0,59.95,0.0,Yes
11,4 SIWI LLC,Illinois,612.333333333,Fixed wireless,7.0,3.0,Unlimited,69.95,0.0,0.0,69.95,0.0,Yes
12,"AlasConnect, Inc.",Alaska,887.0,Fixed wireless,1.0,0.125,0,62.5,0.0,0.0,62.5,45.0,No
13,"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",Alaska,1774.0,DSL,10.0,1.0,Unlimited,109.0,0.0,0.0,109.0,0.0,Yes
14,"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",Alaska,1774.0,DSL,15.0,1.0,Unlimited,119.0,0.0,0.0,119.0,0.0,Yes
15,"Amplex Electric, Inc.",Ohio,1506.0,Fixed wireless,4.0,1.0,Unlimited,49.95,0.0,0.0,49.95,0.0,Yes
16,"Amplex Electric, Inc.",Ohio,1506.0,Fixed wireless,6.0,1.0,Unlimited,54.95,0.0,0.0,54.95,0.0,Yes
17,"Amplex Electric, Inc.",Ohio,1506.0,Fixed wireless,10.0,2.0,Unlimited,79.95,0.0,0.0,79.95,0.0,Yes
18,"Armstrong Utilities, Inc.",Ohio,1713.0,Cable,1.5,0.5,200,26.95,0.0,0.0,26.95,0.0,No
19,"Armstrong Utilities, Inc.",Ohio,1713.0,Cable,15.0,3.0,200,44.95,0.0,0.0,44.95,0.0,Yes
20,"Armstrong Utilities, Inc.",Ohio,1713.0,Cable,30.0,3.0,200,59.95,0.0,0.0,59.95,0.0,Yes
21,"Armstrong Utilities, Inc.",Ohio,1713.0,Cable,50.0,5.0,400,89.95,0.0,0.0,89.95,0.0,No
22,"Armstrong Utilities, Inc.",Ohio,1713.0,Cable,75.0,5.0,400,119.95,0.0,0.0,119.95,0.0,No
23,"Armstrong Utilities, Inc.",Ohio,1713.0,Cable,100.0,5.0,400,149.95,0.0,0.0,149.95,0.0,No
24,"Atlantic Broadband (Penn), LLC",Pennsylvania,1894.0,Cable,1.0,0.5,Unlimited,40.99,0.0,8.0,48.99,0.0,No
25,"Atlantic Broadband (Penn), LLC",Pennsylvania,1894.0,Cable,5.0,1.0,Unlimited,44.99,0.0,8.0,52.99,0.0,Yes
26,"Atlantic Broadband (Penn), LLC",Pennsylvania,1894.0,Cable,8.0,1.0,Unlimited,57.99,0.0,8.0,65.99,0.0,Yes
27,"Atlantic Broadband (Penn), LLC",Pennsylvania,1894.0,Cable,30.0,2.0,Unlimited,61.99,0.0,8.0,69.99,0.0,Yes
28,"Atlantic Broadband (Penn), LLC",Pennsylvania,1894.0,Cable,75.0,3.0,Unlimited,74.99,0.0,8.0,82.99,0.0,No
29,Atlantic Telephone Membership Corporation,North Carolina,1385.5,Cable,12.0,3.0,Unlimited,57.95,1.12,0.0,59.07,0.0,Yes
30,Atlantic Telephone Membership Corporation,North Carolina,1385.5,Cable,20.0,5.0,Unlimited,72.95,1.12,0.0,74.07,0.0,Yes
31,Atlantic Telephone Membership Corporation,North Carolina,1385.5,Cable,35.0,5.0,Unlimited,85.95,1.12,0.0,87.07,0.0,Yes
32,Atlantic Telephone Membership Corporation,North Carolina,1385.5,Cable,50.0,5.0,Unlimited,99.95,1.12,0.0,101.07,0.0,No
33,Atlantic Telephone Membership Corporation,North Carolina,1385.5,Cable,100.0,20.0,Unlimited,115.95,1.12,0.0,117.07,0.0,No
34,Atlantic Telephone Membership Corporation,North Carolina,1385.5,DSL,1.5,0.75,Unlimited,39.95,1.12,0.0,41.07,0.0,No
35,Atlantic Telephone Membership Corporation,North Carolina,1385.5,DSL,6.0,1.0,Unlimited,49.95,1.12,0.0,51.07,0.0,Yes
36,Atlantic Telephone Membership Corporation,North Carolina,1385.5,FTTH,1.5,0.75,Unlimited,39.95,1.12,0.0,41.07,0.0,No
37,Atlantic Telephone Membership Corporation,North Carolina,1385.5,FTTH,6.0,1.0,Unlimited,49.95,1.12,0.0,51.07,0.0,Yes
38,Atlantic Telephone Membership Corporation,North Carolina,1385.5,FTTH,12.0,3.0,Unlimited,57.95,1.12,0.0,59.07,0.0,Yes
39,Atlantic Telephone Membership Corporation,North Carolina,1385.5,FTTH,20.0,5.0,Unlimited,72.95,1.12,0.0,74.07,0.0,Yes
40,Atlantic Telephone Membership Corporation,North Carolina,1385.5,FTTH,35.0,5.0,Unlimited,85.95,1.12,0.0,87.07,0.0,Yes
41,Atlantic Telephone Membership Corporation,North Carolina,1385.5,FTTH,50.0,5.0,Unlimited,99.95,1.12,0.0,101.07,0.0,No
42,Atlantic Telephone Membership Corporation,North Carolina,1385.5,FTTH,100.0,20.0,Unlimited,115.95,1.12,0.0,117.07,0.0,No
43,Atlantic Telephone Membership Corporation,North Carolina,2771.0,FTTH,1000.0,100.0,Unlimited,144.95,1.12,0.0,146.07,0.0,No
44,"AT&T Services, Inc.",Alabama,5126.08,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
45,"AT&T Services, Inc.",Alabama,11913.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
46,"AT&T Services, Inc.",Alabama,5126.08,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
47,"AT&T Services, Inc.",Alabama,11913.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
48,"AT&T Services, Inc.",Alabama,5126.08,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
49,"AT&T Services, Inc.",Alabama,5956.58,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
50,"AT&T Services, Inc.",Alabama,5126.08,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
51,"AT&T Services, Inc.",Alabama,5956.58,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
52,"AT&T Services, Inc.",Alabama,5126.08,Other,0.75,0.375,250,33.0,0.0,0.0,33.0,0.0,No
53,"AT&T Services, Inc.",Alabama,5126.08,Other,1.5,0.375,250,41.0,0.0,0.0,41.0,0.0,No
54,"AT&T Services, Inc.",Alabama,5126.08,Other,3.0,0.5,250,46.0,0.0,0.0,46.0,0.0,Yes
55,"AT&T Services, Inc.",Alabama,5956.58,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
56,"AT&T Services, Inc.",Alabama,5126.08,Other,6.0,0.75,250,51.0,0.0,0.0,51.0,0.0,Yes
57,"AT&T Services, Inc.",Alabama,5956.58,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
58,"AT&T Services, Inc.",Alabama,11913.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
59,"AT&T Services, Inc.",Alabama,11913.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
60,"AT&T Services, Inc.",Alabama,11913.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
61,"AT&T Services, Inc.",Alabama,11913.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
62,"AT&T Services, Inc.",Arkansas,11828.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
63,"AT&T Services, Inc.",Arkansas,11828.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
64,"AT&T Services, Inc.",Arkansas,5914.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
65,"AT&T Services, Inc.",Arkansas,5914.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
66,"AT&T Services, Inc.",Arkansas,5914.08,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
67,"AT&T Services, Inc.",Arkansas,5914.08,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
68,"AT&T Services, Inc.",Arkansas,11828.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
69,"AT&T Services, Inc.",Arkansas,11828.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
70,"AT&T Services, Inc.",Arkansas,11828.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
71,"AT&T Services, Inc.",Arkansas,11828.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
72,"AT&T Services, Inc.",California,10603.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
73,"AT&T Services, Inc.",California,10750.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
74,"AT&T Services, Inc.",California,11428.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
75,"AT&T Services, Inc.",California,11657.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
76,"AT&T Services, Inc.",California,10603.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
77,"AT&T Services, Inc.",California,10750.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
78,"AT&T Services, Inc.",California,11428.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
79,"AT&T Services, Inc.",California,11657.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
80,"AT&T Services, Inc.",California,5301.58,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
81,"AT&T Services, Inc.",California,5375.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
82,"AT&T Services, Inc.",California,5714.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
83,"AT&T Services, Inc.",California,5828.58,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
84,"AT&T Services, Inc.",California,5301.58,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
85,"AT&T Services, Inc.",California,5375.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
86,"AT&T Services, Inc.",California,5714.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
87,"AT&T Services, Inc.",California,5828.58,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
88,"AT&T Services, Inc.",California,5301.58,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
89,"AT&T Services, Inc.",California,5375.08,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
90,"AT&T Services, Inc.",California,5714.08,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
91,"AT&T Services, Inc.",California,5828.58,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
92,"AT&T Services, Inc.",California,5301.58,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
93,"AT&T Services, Inc.",California,5375.08,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
94,"AT&T Services, Inc.",California,5714.08,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
95,"AT&T Services, Inc.",California,5828.58,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
96,"AT&T Services, Inc.",California,10603.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
97,"AT&T Services, Inc.",California,10750.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
98,"AT&T Services, Inc.",California,11428.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
99,"AT&T Services, Inc.",California,11657.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
100,"AT&T Services, Inc.",California,10603.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
101,"AT&T Services, Inc.",California,10750.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
102,"AT&T Services, Inc.",California,11428.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
103,"AT&T Services, Inc.",California,11657.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
104,"AT&T Services, Inc.",California,10603.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
105,"AT&T Services, Inc.",California,10750.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
106,"AT&T Services, Inc.",California,11428.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
107,"AT&T Services, Inc.",California,11657.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
108,"AT&T Services, Inc.",California,10603.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
109,"AT&T Services, Inc.",California,10750.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
110,"AT&T Services, Inc.",California,11428.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
111,"AT&T Services, Inc.",California,11657.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
112,"AT&T Services, Inc.",Connecticut,10522.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
113,"AT&T Services, Inc.",Connecticut,10522.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
114,"AT&T Services, Inc.",Connecticut,5261.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
115,"AT&T Services, Inc.",Connecticut,5261.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
116,"AT&T Services, Inc.",Connecticut,5261.08,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
117,"AT&T Services, Inc.",Connecticut,5261.08,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
118,"AT&T Services, Inc.",Connecticut,10522.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
119,"AT&T Services, Inc.",Connecticut,10522.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
120,"AT&T Services, Inc.",Connecticut,10522.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
121,"AT&T Services, Inc.",Connecticut,10522.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
122,"AT&T Services, Inc.",Georgia,10674.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
123,"AT&T Services, Inc.",Georgia,11067.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
124,"AT&T Services, Inc.",Georgia,11546.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
125,"AT&T Services, Inc.",Georgia,10674.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
126,"AT&T Services, Inc.",Georgia,11067.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
127,"AT&T Services, Inc.",Georgia,11546.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
128,"AT&T Services, Inc.",Georgia,5337.08,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
129,"AT&T Services, Inc.",Georgia,5533.58,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
130,"AT&T Services, Inc.",Georgia,5773.08,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
131,"AT&T Services, Inc.",Georgia,5337.08,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
132,"AT&T Services, Inc.",Georgia,5533.58,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
133,"AT&T Services, Inc.",Georgia,5773.08,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
134,"AT&T Services, Inc.",Georgia,5337.08,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
135,"AT&T Services, Inc.",Georgia,5533.58,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
136,"AT&T Services, Inc.",Georgia,5773.08,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
137,"AT&T Services, Inc.",Georgia,5337.08,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
138,"AT&T Services, Inc.",Georgia,5533.58,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
139,"AT&T Services, Inc.",Georgia,5773.08,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
140,"AT&T Services, Inc.",Georgia,10674.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
141,"AT&T Services, Inc.",Georgia,11067.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
142,"AT&T Services, Inc.",Georgia,11546.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
143,"AT&T Services, Inc.",Georgia,10674.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
144,"AT&T Services, Inc.",Georgia,11067.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
145,"AT&T Services, Inc.",Georgia,11546.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
146,"AT&T Services, Inc.",Georgia,10674.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
147,"AT&T Services, Inc.",Georgia,11067.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
148,"AT&T Services, Inc.",Georgia,11546.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
149,"AT&T Services, Inc.",Georgia,10674.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
150,"AT&T Services, Inc.",Georgia,11067.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
151,"AT&T Services, Inc.",Georgia,11546.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
152,"AT&T Services, Inc.",Illinois,11360.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
153,"AT&T Services, Inc.",Illinois,11360.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
154,"AT&T Services, Inc.",Illinois,5680.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
155,"AT&T Services, Inc.",Illinois,5680.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
156,"AT&T Services, Inc.",Illinois,5680.08,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
157,"AT&T Services, Inc.",Illinois,5680.08,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
158,"AT&T Services, Inc.",Illinois,11360.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
159,"AT&T Services, Inc.",Illinois,11360.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
160,"AT&T Services, Inc.",Illinois,11360.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
161,"AT&T Services, Inc.",Illinois,11360.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
162,"AT&T Services, Inc.",Louisiana,11243.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
163,"AT&T Services, Inc.",Louisiana,11396.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
164,"AT&T Services, Inc.",Louisiana,11243.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
165,"AT&T Services, Inc.",Louisiana,11396.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
166,"AT&T Services, Inc.",Louisiana,5621.58,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
167,"AT&T Services, Inc.",Louisiana,5698.08,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
168,"AT&T Services, Inc.",Louisiana,5621.58,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
169,"AT&T Services, Inc.",Louisiana,5698.08,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
170,"AT&T Services, Inc.",Louisiana,5621.58,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
171,"AT&T Services, Inc.",Louisiana,5698.08,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
172,"AT&T Services, Inc.",Louisiana,5621.58,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
173,"AT&T Services, Inc.",Louisiana,5698.08,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
174,"AT&T Services, Inc.",Louisiana,11243.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
175,"AT&T Services, Inc.",Louisiana,11396.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
176,"AT&T Services, Inc.",Louisiana,11243.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
177,"AT&T Services, Inc.",Louisiana,11396.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
178,"AT&T Services, Inc.",Louisiana,11243.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
179,"AT&T Services, Inc.",Louisiana,11396.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
180,"AT&T Services, Inc.",Louisiana,11243.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
181,"AT&T Services, Inc.",Louisiana,11396.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
182,"AT&T Services, Inc.",Michigan,11100.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
183,"AT&T Services, Inc.",Michigan,11100.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
184,"AT&T Services, Inc.",Michigan,5550.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
185,"AT&T Services, Inc.",Michigan,5550.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
186,"AT&T Services, Inc.",Michigan,5550.08,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
187,"AT&T Services, Inc.",Michigan,5550.08,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
188,"AT&T Services, Inc.",Michigan,11100.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
189,"AT&T Services, Inc.",Michigan,11100.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
190,"AT&T Services, Inc.",Michigan,11100.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
191,"AT&T Services, Inc.",Michigan,11100.16,Other,45.0,6.0,250,81.0,0.0,0.0,81.0,0.0,No
192,"AT&T Services, Inc.",Missouri,12138.16,DSL,0.75,0.375,150,36.0,0.0,0.0,36.0,0.0,No
193,"AT&T Services, Inc.",Missouri,12138.16,DSL,1.5,0.375,150,44.0,0.0,0.0,44.0,0.0,No
194,"AT&T Services, Inc.",Missouri,6069.08,DSL,3.0,0.5,150,49.0,0.0,0.0,49.0,0.0,Yes
195,"AT&T Services, Inc.",Missouri,6069.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
196,"AT&T Services, Inc.",Missouri,6069.08,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
197,"AT&T Services, Inc.",Missouri,6069.08,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
198,"AT&T Services, Inc.",Missouri,12138.16,Other,12.0,1.5,250,56.0,0.0,0.0,56.0,0.0,Yes
199,"AT&T Services, Inc.",Missouri,12138.16,Other,18.0,1.5,250,61.0,0.0,0.0,61.0,0.0,Yes
200,"AT&T Services, Inc.",Missouri,12138.16,Other,24.0,3.0,250,71.0,0.0,0.0,71.0,0.0,Yes
201,"AT&T Services, Inc.",North Carolina,10408.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
202,"AT&T Services, Inc.",North Carolina,11633.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
203,"AT&T Services, Inc.",North Carolina,11850.16,DSL,0.75,0.125,150,36.0,0.0,0.0,36.0,0.0,No
204,"AT&T Services, Inc.",North Carolina,10408.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
205,"AT&T Services, Inc.",North Carolina,11633.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
206,"AT&T Services, Inc.",North Carolina,11850.16,DSL,1.5,0.25,150,44.0,0.0,0.0,44.0,0.0,No
207,"AT&T Services, Inc.",North Carolina,5204.08,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
208,"AT&T Services, Inc.",North Carolina,5816.58,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
209,"AT&T Services, Inc.",North Carolina,5925.08,DSL,3.0,0.375,150,49.0,0.0,0.0,49.0,0.0,Yes
210,"AT&T Services, Inc.",North Carolina,5204.08,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
211,"AT&T Services, Inc.",North Carolina,5816.58,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
212,"AT&T Services, Inc.",North Carolina,5925.08,DSL,6.0,0.5,150,54.0,0.0,0.0,54.0,0.0,Yes
213,"AT&T Services, Inc.",North Carolina,5204.08,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
214,"AT&T Services, Inc.",North Carolina,5816.58,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
215,"AT&T Services, Inc.",North Carolina,5925.08,Other,3.0,1.0,250,46.0,0.0,0.0,46.0,0.0,Yes
216,"AT&T Services, Inc.",North Carolina,5204.08,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
217,"AT&T Services, Inc.",North Carolina,5816.58,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
218,"AT&T Services, Inc.",North Carolina,5925.08,Other,6.0,1.0,250,51.0,0.0,0.0,51.0,0.0,Yes
