"","unit_id","isp","technology","advertised.down","advertised.up","tz.offset","tz.offset.dst","state","region","medianUp","medianDown","medianLatency","medianJitterUp","medianJitterDown","medianLossUp","medianLossDown","medianLoss"
"997",7423,"Comcast","CABLE",50,10,-8,-7,"WA","WEST",1489387,7348627,26843.5,3076,802,1,1,0
"998",7425,"Verizon","FIBER",35,35,-5,-4,"NY","NORTHEAST",4704132,4823530,13740.5,1625,1843.5,1,1,0
"999",7428,"Time Warner Cable","CABLE",7,1,-5,-4,"PA","NORTHEAST",128398.5,936906,63609,2916,888,0.988,1,0.995249994372031
"1000",7437,"Time Warner Cable","CABLE",100,10,-6,-5,"TX","SOUTH",1339733,12710887,18512,5309,832,1,1,0
"1001",7440,"Charter","CABLE",100,5,-6,-5,"AL","SOUTH",661157.5,12031722.5,35518.5,2633,815,1,1,0.854700854700855
"1002",7444,"Comcast","CABLE",5,1,-5,-4,"FL","SOUTH",151727,732803,34320,1881,1003,1,1,0
"1003",7447,"Charter","CABLE",15,3,-5,-4,"GA","SOUTH",401332,1945778.5,24781.5,2981,778,1,1,0
"1004",7448,"AT&T","DSL",18,1.5,-5,-4,"FL","SOUTH",235988,2802784,56877.5,1635.5,1226,1,1,0
"1005",7449,"Time Warner Cable","CABLE",20,2,-5,-4,"SC","SOUTH",271754.5,2645503.5,32017.5,2580,868.5,1,1,0
"1006",7450,"Time Warner Cable","CABLE",20,2,-8,-7,"CA","WEST",293154.5,2775006,23533,1970,1091,1,1,0
"1007",7454,"Frontier","DSL",3,0.768,-5,-4,"OH","MIDWEST",83162.5,232880,72451,1521,18328,1,1,0.871501840666214
"1008",7455,"Comcast","CABLE",25,5,-5,-4,"MA","NORTHEAST",742149.5,3626757.5,32603,1693.5,992.5,1,1,0
"1009",7459,"Charter","CABLE",60,4,-5,-4,"CT","NORTHEAST",530576,8187825,18373,3423,824,1,1,0
"1010",7460,"AT&T","DSL",18,1.5,-6,-5,"IL","MIDWEST",225344,2320882.5,48280,2116.5,1204,1,1,0.214132762312634
"1011",7461,"Wildblue/ViaSat","SATELLITE",12,3,-7,-6,"CO","WEST",664670,1930201,681564,39218,10692,1,1,0.0485436893203883
"1012",7462,"Charter","CABLE",60,4,-8,-7,"NV","WEST",530616,8179026.5,14472,2561.5,789,1,1,0
"1013",7463,"AT&T","DSL",12,1.5,-8,-7,"CA","WEST",233402,1898445.5,28022,1275,837,1,1,0
"1014",7464,"Mediacom","CABLE",50,5,-6,-5,"KS","MIDWEST",478544.5,4025182.5,18648.5,3122.5,835,1,1,0
"1015",7465,"Charter","CABLE",60,4,-6,-5,"AL","SOUTH",531292,8197220,40289,2752,796,1,1,0
"1016",7466,"Verizon","FIBER",50,50,-5,-4,"VA","SOUTH",7902932.5,7221792.5,9548,2582,1065,1,1,0
"1017",7471,"Cox","CABLE",25,5,-8,-7,"NV","WEST",644332.5,2996637.5,23254.5,2375,1179,1,1,0.112485939257593
"1018",7473,"Time Warner Cable","CABLE",20,2,-5,-4,"IN","MIDWEST",283238,2817227,30592.5,2562,883,1,1,0
"1019",7475,"Time Warner Cable","CABLE",15,1,-5,-4,"NC","SOUTH",132353,2011344,38446.5,2842.5,906,1,1,0
"1020",7476,"Time Warner Cable","CABLE",20,2,-5,-4,"NY","NORTHEAST",277731,2647076.5,26626,1751,898.5,1,1,0
"1021",7477,"Verizon","FIBER",75,75,-5,-4,"FL","SOUTH",11039383,10424586.5,31722.5,1508,1756,1,1,0
"1022",7482,"Charter","CABLE",100,4,-6,-5,"IL","MIDWEST",525935.5,12278519,30418,1860,966,1,1,0
"1023",7490,"Cox","CABLE",50,5,-7,-7,"AZ","WEST",653992,6764371,22679,2199,918,1,1,0
"1024",7492,"Cox","CABLE",50,5,-8,-7,"AZ","WEST",654096.5,6908677.5,21383,1978,946,1,1,0
"1025",7497,"Cox","CABLE",25,5,-7,-7,"AZ","WEST",674241.5,3697179,21329.5,2169,855.5,1,1,0
"1026",7498,"Comcast","CABLE",25,5,-7,-6,"UT","WEST",742237.5,3721520,37799,1567.5,814,1,1,0
"1027",7502,"Charter","CABLE",100,5,-8,-7,"CA","WEST",664816,12845652,22701,2846.5,1283,1,1,0
"1028",7505,"Time Warner Cable","CABLE",15,1,-5,-4,"MD","SOUTH",132005.5,2011320,64064,2634.5,888,1,1,0
"1029",7506,"Time Warner Cable","CABLE",7,0.768,-5,-4,"NC","SOUTH",97932,925495,15977,3101,859,1,1,0
"1030",7509,"Comcast","CABLE",50,10,-8,-7,"WA","WEST",1487074,7350417,27115.5,2040.5,799,1,1,0
"1031",7511,"AT&T","DSL",18,1.5,-6,-5,"IL","MIDWEST",233477,2846414,26384,1521,1172,1,1,0
"1032",7513,"Comcast","CABLE",50,10,-5,-4,"MI","MIDWEST",1489372,7345171.5,23837.5,3541.5,891,1,1,0
"1033",7515,"Time Warner Cable","CABLE",15,1,-5,-4,"OH","MIDWEST",132121.5,2011055,31168,3774,907,1,1,0
"1034",7518,"AT&T","DSL",6,0.512,-5,-4,"OH","MIDWEST",78860,633021.5,22634,1343,807,1,0.998,0.488401216530503
"1035",7521,"CenturyLink","DSL",40,20,-6,-5,"MN","MIDWEST",2330170.5,5558600.5,30056,1215,859,1,1,0
"1036",7523,"Frontier","DSL",6,0.768,-5,-4,"IN","MIDWEST",54844,737565.5,44429,1589,1221,0.998,1,0
"1037",7528,"Verizon","FIBER",35,35,-6,-5,"TX","SOUTH",4663182,5337697,10301,1829,1870.5,1,1,0.0492611315597385
"1038",7529,"Cox","CABLE",100,10,-7,-7,"AZ","WEST",1306761.5,8080104,41991,21697,1049,1,1,0
"1039",7535,"Comcast","CABLE",25,5,-5,-4,"GA","SOUTH",741804.5,3721831.5,22255,2618,878,1,1,0
"1040",7537,"Time Warner Cable","CABLE",30,5,-10,-10,"HI","WEST",702786.5,4225793,66510.5,4133.5,886,1,1,0
"1041",7540,"Comcast","CABLE",25,5,-6,-5,"IL","MIDWEST",740670,3721712,10905.5,2631,810,1,1,0
"1042",7541,"Mediacom","CABLE",20,2,-6,-5,"AL","SOUTH",236841,2602918,49573.5,2339,992,1,1,0
"1043",7542,"Verizon","FIBER",15,5,-8,-7,"CA","WEST",692305,1900108,16185,1581,1038,1,1,0
"1044",7545,"AT&T","DSL",6,1,-6,-5,"WI","MIDWEST",176422,948291,23992,1329,1046,1,1,0
"1045",7546,"Time Warner Cable","CABLE",10,1,-8,-7,"CA","WEST",132365,399746.5,17735,4405,931,1,1,0
"1046",7547,"Cox","CABLE",25,5,-6,-5,"RI","NORTHEAST",673371,3653904.5,15529,1648,1015,1,1,0
"1047",7549,"Comcast","CABLE",105,20,-5,-4,"GA","SOUTH",2972005,12814225.5,22643,4094,839,1,1,0
"1048",7551,"Verizon","FIBER",75,75,-5,-4,"NJ","NORTHEAST",11117435,10422343,14943,1354,1780,1,1,0
"1049",7553,"Time Warner Cable","CABLE",20,2,-6,-5,"WI","MIDWEST",279470,2766177.5,19016,3304.5,842,1,1,0
"1050",7554,"AT&T","DSL",12,1.5,-5,-4,"MI","MIDWEST",176625.5,1494861,29554,1410,933,1,1,0
"1051",7555,"Comcast","CABLE",50,10,-6,-5,"IL","MIDWEST",1488474.5,7445552.5,14772,1740,784,1,1,0
"1052",7560,"Verizon","FIBER",50,50,-6,-5,"NJ","NORTHEAST",7609176.5,7244660.5,15405.5,1788,1902,1,1,0
"1053",7564,"Cox","CABLE",25,5,-6,-5,"RI","NORTHEAST",660849,3810870,16238,2088,868,1,1,0.0506072874493927
"1054",7569,"CenturyLink","DSL",5,0.896,-6,-5,"MN","MIDWEST",95376,400816.5,56007,1356,852,1,1,0
"1055",7573,"AT&T","DSL",6,0.512,-5,-4,"SC","SOUTH",50791,695549,34865,1969,1547,1,1,0
"1056",7575,"Charter","CABLE",15,3,-8,-7,"CA","WEST",400472.5,1944821.5,14896,2861,908,1,1,0
"1057",7576,"Time Warner Cable","CABLE",20,2,-7,-6,"TX","SOUTH",294937.5,2781115.5,27118,2497,896,1,1,0
"1058",7578,"Comcast","CABLE",25,5,-8,-7,"WA","WEST",713064.5,3525485.5,22253.5,1939,755,1,1,0
"1059",7581,"Time Warner Cable","CABLE",15,1,-6,-5,"WI","MIDWEST",132643.5,2010006,15903,1561,797,1,1,0
"1060",7582,"Charter","CABLE",30,4,-6,-5,"MN","MIDWEST",523599,3903062.5,27032.5,2056,876.5,1,1,0
"1061",7584,"Comcast","CABLE",50,10,-6,-5,"MN","MIDWEST",1489511,7350562,17353,1751,803,1,1,0.0508646998982706
"1062",7586,"Comcast","CABLE",50,10,-5,-4,"GA","SOUTH",1487939,7445766.5,20710,1655,770,1,1,0
"1063",7587,"AT&T","DSL",18,1.5,-5,-4,"MI","MIDWEST",235092.5,2846171,31657,1501,1151,1,1,0
"1064",7589,"CenturyLink","DSL",10,0.768,-5,-4,"NC","SOUTH",98910,1235880.5,20092,1399,885,1,1,0
"1065",7590,"Verizon","FIBER",50,50,-5,-4,"VA","SOUTH",7607853,7244953,7279,1491,1753,1,1,0.049825610363727
"1066",7592,"Time Warner Cable","CABLE",30,5,-6,-5,"IA","MIDWEST",700255,4221953,24568,2456,860,1,1,0
"1067",7594,"Comcast","CABLE",50,10,-6,-5,"MN","MIDWEST",1489303,7350719.5,18944,1717,812.5,1,1,0
"1068",7603,"AT&T","DSL",1.5,0.384,-8,-7,"CA","WEST",47764,156609,16748,1650,966,1,1,0
"1069",7609,"AT&T","DSL",3,0.512,-8,-7,"CA","WEST",53439,466004,27262,2089,982,1,1,0
