"","technology","costBracket","V1","unit_id","isp","advertised.down","advertised.up","tz.offset","tz.offset.dst","state","region","medianUp","medianDown","medianLatency","medianJitterUp","medianJitterDown","medianLossUp","medianLossDown","medianLoss","monthly.charge","sampleFreq","sampleWeight","weight","sampleWeight.normalized","popWeight.normalized"
"2559","CABLE",80,"869",7036,"Brighthouse",30,2,-5,-4,"FL","SOUTH",285793,4215533,29241,2966,937,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2560","CABLE",80,"897",7117,"Charter",15,3,-8,-7,"OR","WEST",401775.5,1946218,42633,3234,824,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2561","CABLE",80,"917",7173,"Cablevision",50,25,-5,-4,"NY","NORTHEAST",3572206,7350799.5,12583,1776,933,1,1,0,76.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2562","CABLE",80,"921",7183,"Charter",15,3,-5,-4,"GA","SOUTH",401066,2110572.5,23200,2621.5,942,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2563","CABLE",80,"981",7357,"Charter",15,3,-5,-4,"CT","NORTHEAST",400799,1946129,15686,2299,826,1,1,0,48.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2564","CABLE",80,"999",7428,"Time Warner Cable",7,1,-5,-4,"PA","NORTHEAST",128398.5,936906,63609,2916,888,0.988,1,0.995249994372031,49.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2565","CABLE",80,"1003",7447,"Charter",15,3,-5,-4,"GA","SOUTH",401332,1945778.5,24781.5,2981,778,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2566","CABLE",80,"1029",7506,"Time Warner Cable",7,0.768,-5,-4,"NC","SOUTH",97932,925495,15977,3101,859,1,1,0,49.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2567","CABLE",80,"1056",7575,"Charter",15,3,-8,-7,"CA","WEST",400472.5,1944821.5,14896,2861,908,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2568","CABLE",80,"1089",7679,"Time Warner Cable",7,1,-10,-10,"HI","WEST",132283,937676,68542.5,4115,861,1,1,0,49.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2569","CABLE",80,"1155",7890,"Brighthouse",60,5,-8,-7,"CA","WEST",716362,8505756,17240.5,2118,887,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2570","CABLE",80,"1203",8061,"Brighthouse",60,5,-5,-4,"FL","SOUTH",714749,8596989.5,37409.5,2903.5,901,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2571","CABLE",80,"1279",8285,"Charter",15,3,-5,-4,"SC","SOUTH",401642,1946265,27418,2608,821,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2572","CABLE",80,"1302",8354,"Cablevision",50,25,-5,-4,"NY","NORTHEAST",3567946,7343199.5,11164,2312.5,972.5,1,1,0,77.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2573","CABLE",80,"1319",8413,"Cablevision",50,25,-5,-4,"NY","NORTHEAST",3575031,7437293.5,11792,2754,926,1,1,0,76.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2574","CABLE",80,"1372",8645,"Brighthouse",30,2,-8,-7,"CA","WEST",291156.5,4251895.5,17076,1943,919,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2575","CABLE",80,"1374",8647,"Brighthouse",30,2,-5,-4,"FL","SOUTH",286995,4243715.5,25384,1962,930,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2576","CABLE",80,"1416",8815,"Brighthouse",30,2,-5,-4,"SC","SOUTH",289672,4231195,23925,2013,926,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2577","CABLE",80,"1431",8854,"Charter",15,3,-5,-4,"NC","SOUTH",398669.5,1945319.5,20785.5,1748.5,796,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2578","CABLE",80,"1542",9255,"Brighthouse",30,2,-5,-4,"FL","SOUTH",292117.5,3402518,32813,2405,933,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2579","CABLE",80,"1557",9298,"Brighthouse",60,5,-5,-4,"FL","SOUTH",716341.5,8450010,29931.5,3346.5,994.5,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2580","CABLE",80,"1585",9385,"Cablevision",50,25,-5,-4,"CT","NORTHEAST",3571514.5,7350788.5,11435,1822,942,1,1,0,76.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
