,Unnamed: 0,isp,State,Weight,TECHNOLOGY,Download Bandwidth Mbps ,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread,Regression Data
283,283,AT&T,Wisconsin,6136.08,DSL,6.0,0.75,150,54.0,0.0,0.0,54.0,0.0,Yes
292,292,Cablevision,Minnesota,1198.0,CABLE,1.5,1.0,Unlimited,49.95,0.0,0.0,49.95,0.0,No
293,293,Cablevision,Minnesota,1198.0,CABLE,3.0,1.0,Unlimited,54.95,0.0,0.0,54.95,0.0,Yes
294,294,Cablevision,Minnesota,1198.0,CABLE,5.0,1.0,Unlimited,64.95,0.0,0.0,64.95,0.0,Yes
295,295,Cablevision,Minnesota,1198.0,CABLE,7.0,1.0,Unlimited,89.95,0.0,0.0,89.95,0.0,Yes
296,296,Cablevision,Minnesota,1198.0,CABLE,10.0,1.0,Unlimited,99.95,0.0,0.0,99.95,0.0,Yes
411,411,CenturyLink,Arizona,2978.328,DSL,1.5,0.875,150,35.0,0.0,0.99,35.99,0.0,No
412,412,CenturyLink,Arizona,4316.328,DSL,1.5,0.875,150,35.0,0.0,0.99,35.99,0.0,No
413,413,CenturyLink,Arizona,2978.328,DSL,3.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
414,414,CenturyLink,Arizona,4316.328,DSL,3.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
415,415,CenturyLink,Arizona,2978.328,DSL,4.0,1.0,250,50.0,0.0,0.99,50.99,0.0,Yes
416,416,CenturyLink,Arizona,4316.328,DSL,4.0,1.0,250,50.0,0.0,0.99,50.99,0.0,Yes
417,417,CenturyLink,Arizona,2978.328,DSL,5.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
418,418,CenturyLink,Arizona,4316.328,DSL,5.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
419,419,CenturyLink,Arizona,2978.328,DSL,7.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
420,420,CenturyLink,Arizona,4316.328,DSL,7.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
421,421,CenturyLink,Arizona,2978.328,DSL,12.0,0.875,250,55.0,0.0,0.99,55.99,0.0,Yes
422,422,CenturyLink,Arizona,4316.328,DSL,12.0,0.875,250,55.0,0.0,0.99,55.99,0.0,Yes
423,423,CenturyLink,Arizona,2978.328,DSL,20.0,0.875,250,65.0,0.0,0.99,65.99,0.0,Yes
424,424,CenturyLink,Arizona,4316.328,DSL,20.0,0.875,250,65.0,0.0,0.99,65.99,0.0,Yes
425,425,CenturyLink,Arizona,1489.164,DSL,40.0,5.0,250,105.0,0.0,0.99,105.99,0.0,Yes
426,426,CenturyLink,Arizona,2158.164,DSL,40.0,5.0,250,105.0,0.0,0.99,105.99,0.0,Yes
427,427,CenturyLink,Arizona,1489.164,DSL,40.0,20.0,250,115.0,0.0,0.99,115.99,0.0,Yes
428,428,CenturyLink,Arizona,2158.164,DSL,40.0,20.0,250,115.0,0.0,0.99,115.99,0.0,Yes
429,429,CenturyLink,Colorado,2578.328,DSL,1.5,0.875,150,35.0,0.0,0.99,35.99,0.0,No
430,430,CenturyLink,Colorado,3252.328,DSL,1.5,0.875,150,35.0,0.0,0.99,35.99,0.0,No
431,431,CenturyLink,Colorado,3402.328,DSL,1.5,0.875,150,35.0,0.0,0.99,35.99,0.0,No
432,432,CenturyLink,Colorado,4394.328,DSL,1.5,0.875,150,35.0,0.0,0.99,35.99,0.0,No
433,433,CenturyLink,Colorado,2578.328,DSL,3.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
434,434,CenturyLink,Colorado,3252.328,DSL,3.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
435,435,CenturyLink,Colorado,3402.328,DSL,3.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
436,436,CenturyLink,Colorado,4394.328,DSL,3.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
437,437,CenturyLink,Colorado,2578.328,DSL,4.0,1.0,250,50.0,0.0,0.99,50.99,0.0,Yes
438,438,CenturyLink,Colorado,3252.328,DSL,4.0,1.0,250,50.0,0.0,0.99,50.99,0.0,Yes
439,439,CenturyLink,Colorado,3402.328,DSL,4.0,1.0,250,50.0,0.0,0.99,50.99,0.0,Yes
440,440,CenturyLink,Colorado,4394.328,DSL,4.0,1.0,250,50.0,0.0,0.99,50.99,0.0,Yes
441,441,CenturyLink,Colorado,2578.328,DSL,5.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
442,442,CenturyLink,Colorado,3252.328,DSL,5.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
443,443,CenturyLink,Colorado,3402.328,DSL,5.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
444,444,CenturyLink,Colorado,4394.328,DSL,5.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
445,445,CenturyLink,Colorado,2578.328,DSL,7.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
446,446,CenturyLink,Colorado,3252.328,DSL,7.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
447,447,CenturyLink,Colorado,3402.328,DSL,7.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
448,448,CenturyLink,Colorado,4394.328,DSL,7.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
449,449,CenturyLink,Colorado,2578.328,DSL,12.0,0.875,250,55.0,0.0,0.99,55.99,0.0,Yes
450,450,CenturyLink,Colorado,3252.328,DSL,12.0,0.875,250,55.0,0.0,0.99,55.99,0.0,Yes
451,451,CenturyLink,Colorado,3402.328,DSL,12.0,0.875,250,55.0,0.0,0.99,55.99,0.0,Yes
452,452,CenturyLink,Colorado,4394.328,DSL,12.0,0.875,250,55.0,0.0,0.99,55.99,0.0,Yes
453,453,CenturyLink,Colorado,2578.328,DSL,20.0,0.875,250,65.0,0.0,0.99,65.99,0.0,Yes
454,454,CenturyLink,Colorado,3252.328,DSL,20.0,0.875,250,65.0,0.0,0.99,65.99,0.0,Yes
455,455,CenturyLink,Colorado,3402.328,DSL,20.0,0.875,250,65.0,0.0,0.99,65.99,0.0,Yes
456,456,CenturyLink,Colorado,4394.328,DSL,20.0,0.875,250,65.0,0.0,0.99,65.99,0.0,Yes
457,457,CenturyLink,Colorado,1289.164,DSL,40.0,5.0,250,105.0,0.0,0.99,105.99,0.0,Yes
458,458,CenturyLink,Colorado,1626.164,DSL,40.0,5.0,250,105.0,0.0,0.99,105.99,0.0,Yes
459,459,CenturyLink,Colorado,1701.164,DSL,40.0,5.0,250,105.0,0.0,0.99,105.99,0.0,Yes
460,460,CenturyLink,Colorado,2197.164,DSL,40.0,5.0,250,105.0,0.0,0.99,105.99,0.0,Yes
461,461,CenturyLink,Colorado,1289.164,DSL,40.0,20.0,250,115.0,0.0,0.99,115.99,0.0,Yes
462,462,CenturyLink,Colorado,1626.164,DSL,40.0,20.0,250,115.0,0.0,0.99,115.99,0.0,Yes
463,463,CenturyLink,Colorado,1701.164,DSL,40.0,20.0,250,115.0,0.0,0.99,115.99,0.0,Yes
464,464,CenturyLink,Colorado,2197.164,DSL,40.0,20.0,250,115.0,0.0,0.99,115.99,0.0,Yes
465,465,CenturyLink,Florida,2792.328,DSL,0.75,0.375,150,29.95,0.0,0.99,30.94,0.0,No
466,466,CenturyLink,Florida,3344.328,DSL,0.75,0.375,150,29.95,0.0,0.99,30.94,0.0,No
467,467,CenturyLink,Florida,4341.328,DSL,0.75,0.375,150,29.95,0.0,0.99,30.94,0.0,No
468,468,CenturyLink,Florida,2792.328,DSL,1.5,0.5,150,39.95,0.0,0.99,40.94,0.0,No
469,469,CenturyLink,Florida,3344.328,DSL,1.5,0.5,150,39.95,0.0,0.99,40.94,0.0,No
470,470,CenturyLink,Florida,4341.328,DSL,1.5,0.5,150,39.95,0.0,0.99,40.94,0.0,No
471,471,CenturyLink,Florida,2792.328,DSL,3.0,0.625,250,44.95,0.0,0.99,45.94,0.0,Yes
472,472,CenturyLink,Florida,3344.328,DSL,3.0,0.625,250,44.95,0.0,0.99,45.94,0.0,Yes
473,473,CenturyLink,Florida,4341.328,DSL,3.0,0.625,250,44.95,0.0,0.99,45.94,0.0,Yes
474,474,CenturyLink,Florida,2792.328,DSL,4.0,1.0,250,54.95,0.0,0.99,55.94,0.0,Yes
475,475,CenturyLink,Florida,3344.328,DSL,4.0,1.0,250,54.95,0.0,0.99,55.94,0.0,Yes
476,476,CenturyLink,Florida,4341.328,DSL,4.0,1.0,250,54.95,0.0,0.99,55.94,0.0,Yes
477,477,CenturyLink,Florida,2792.328,DSL,6.0,0.5,250,49.95,0.0,0.99,50.94,0.0,Yes
478,478,CenturyLink,Florida,3344.328,DSL,6.0,0.5,250,49.95,0.0,0.99,50.94,0.0,Yes
479,479,CenturyLink,Florida,4341.328,DSL,6.0,0.5,250,49.95,0.0,0.99,50.94,0.0,Yes
480,480,CenturyLink,Florida,2792.328,DSL,8.0,0.75,250,49.95,0.0,0.99,50.94,0.0,Yes
481,481,CenturyLink,Florida,3344.328,DSL,8.0,0.75,250,49.95,0.0,0.99,50.94,0.0,Yes
482,482,CenturyLink,Florida,4341.328,DSL,8.0,0.75,250,49.95,0.0,0.99,50.94,0.0,Yes
483,483,CenturyLink,Florida,2792.328,DSL,10.0,0.875,250,49.95,0.0,0.99,50.94,0.0,Yes
484,484,CenturyLink,Florida,3344.328,DSL,10.0,0.875,250,49.95,0.0,0.99,50.94,0.0,Yes
485,485,CenturyLink,Florida,4341.328,DSL,10.0,0.875,250,49.95,0.0,0.99,50.94,0.0,Yes
486,486,CenturyLink,Florida,2792.328,DSL,25.0,2.0,250,74.95,0.0,0.99,75.94,0.0,Yes
487,487,CenturyLink,Florida,3344.328,DSL,25.0,2.0,250,74.95,0.0,0.99,75.94,0.0,Yes
488,488,CenturyLink,Florida,4341.328,DSL,25.0,2.0,250,74.95,0.0,0.99,75.94,0.0,Yes
489,489,CenturyLink,Florida,2792.328,DSL,40.0,5.0,250,99.95,0.0,0.99,100.94,0.0,Yes
490,490,CenturyLink,Florida,3344.328,DSL,40.0,5.0,250,99.95,0.0,0.99,100.94,0.0,Yes
491,491,CenturyLink,Iowa,4226.328,DSL,1.5,0.875,150,35.0,0.0,0.99,35.99,0.0,No
492,492,CenturyLink,Iowa,4226.328,DSL,3.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
493,493,CenturyLink,Iowa,4226.328,DSL,4.0,1.0,250,50.0,0.0,0.99,50.99,0.0,Yes
494,494,CenturyLink,Iowa,4226.328,DSL,5.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
495,495,CenturyLink,Iowa,4226.328,DSL,7.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
496,496,CenturyLink,Iowa,4226.328,DSL,12.0,0.875,250,55.0,0.0,0.99,55.99,0.0,Yes
497,497,CenturyLink,Iowa,4226.328,DSL,20.0,0.875,250,65.0,0.0,0.99,65.99,0.0,Yes
498,498,CenturyLink,Iowa,2113.164,DSL,40.0,5.0,250,105.0,0.0,0.99,105.99,0.0,Yes
499,499,CenturyLink,Iowa,2113.164,DSL,40.0,20.0,250,115.0,0.0,0.99,115.99,0.0,Yes
500,500,CenturyLink,Iowa,4226.328,FIBER,100.0,50.0,250,65.0,0.0,0.99,65.99,0.0,No
501,501,CenturyLink,Minnesota,3536.328,DSL,1.5,0.875,150,35.0,0.0,0.99,35.99,0.0,No
502,502,CenturyLink,Minnesota,3555.328,DSL,1.5,0.875,150,35.0,0.0,0.99,35.99,0.0,No
503,503,CenturyLink,Minnesota,4480.328,DSL,1.5,0.875,150,35.0,0.0,0.99,35.99,0.0,No
504,504,CenturyLink,Minnesota,3536.328,DSL,3.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
505,505,CenturyLink,Minnesota,3555.328,DSL,3.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
506,506,CenturyLink,Minnesota,4480.328,DSL,3.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
507,507,CenturyLink,Minnesota,3536.328,DSL,4.0,1.0,250,50.0,0.0,0.99,50.99,0.0,Yes
508,508,CenturyLink,Minnesota,3555.328,DSL,4.0,1.0,250,50.0,0.0,0.99,50.99,0.0,Yes
509,509,CenturyLink,Minnesota,4480.328,DSL,4.0,1.0,250,50.0,0.0,0.99,50.99,0.0,Yes
510,510,CenturyLink,Minnesota,3536.328,DSL,5.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
511,511,CenturyLink,Minnesota,3555.328,DSL,5.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
512,512,CenturyLink,Minnesota,4480.328,DSL,5.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
513,513,CenturyLink,Minnesota,3536.328,DSL,7.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
514,514,CenturyLink,Minnesota,3555.328,DSL,7.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
515,515,CenturyLink,Minnesota,4480.328,DSL,7.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
516,516,CenturyLink,Minnesota,3536.328,DSL,12.0,0.875,250,55.0,0.0,0.99,55.99,0.0,Yes
517,517,CenturyLink,Minnesota,3555.328,DSL,12.0,0.875,250,55.0,0.0,0.99,55.99,0.0,Yes
518,518,CenturyLink,Minnesota,4480.328,DSL,12.0,0.875,250,55.0,0.0,0.99,55.99,0.0,Yes
519,519,CenturyLink,Minnesota,3536.328,DSL,20.0,0.875,250,65.0,0.0,0.99,65.99,0.0,Yes
520,520,CenturyLink,Minnesota,3555.328,DSL,20.0,0.875,250,65.0,0.0,0.99,65.99,0.0,Yes
521,521,CenturyLink,Minnesota,4480.328,DSL,20.0,0.875,250,65.0,0.0,0.99,65.99,0.0,Yes
522,522,CenturyLink,Minnesota,1768.164,DSL,40.0,5.0,250,105.0,0.0,0.99,105.99,0.0,Yes
523,523,CenturyLink,Minnesota,1777.664,DSL,40.0,5.0,250,105.0,0.0,0.99,105.99,0.0,Yes
524,524,CenturyLink,Minnesota,2240.164,DSL,40.0,5.0,250,105.0,0.0,0.99,105.99,0.0,Yes
525,525,CenturyLink,Minnesota,1768.164,DSL,40.0,20.0,250,115.0,0.0,0.99,115.99,0.0,Yes
526,526,CenturyLink,Minnesota,1777.664,DSL,40.0,20.0,250,115.0,0.0,0.99,115.99,0.0,Yes
527,527,CenturyLink,Minnesota,2240.164,DSL,40.0,20.0,250,115.0,0.0,0.99,115.99,0.0,Yes
528,528,CenturyLink,Nebraska,2972.328,DSL,1.5,0.875,150,35.0,0.0,0.99,35.99,0.0,No
529,529,CenturyLink,Nebraska,3506.328,DSL,1.5,0.875,150,35.0,0.0,0.99,35.99,0.0,No
530,530,CenturyLink,Nebraska,2972.328,DSL,3.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
531,531,CenturyLink,Nebraska,3506.328,DSL,3.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
532,532,CenturyLink,Nebraska,2972.328,DSL,4.0,1.0,250,50.0,0.0,0.99,50.99,0.0,Yes
533,533,CenturyLink,Nebraska,3506.328,DSL,4.0,1.0,250,50.0,0.0,0.99,50.99,0.0,Yes
534,534,CenturyLink,Nebraska,2972.328,DSL,5.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
535,535,CenturyLink,Nebraska,3506.328,DSL,5.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
536,536,CenturyLink,Nebraska,2972.328,DSL,7.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
537,537,CenturyLink,Nebraska,3506.328,DSL,7.0,0.875,250,45.0,0.0,0.99,45.99,0.0,Yes
538,538,CenturyLink,Nebraska,2972.328,DSL,12.0,0.875,250,55.0,0.0,0.99,55.99,0.0,Yes
539,539,CenturyLink,Nebraska,3506.328,DSL,12.0,0.875,250,55.0,0.0,0.99,55.99,0.0,Yes
540,540,CenturyLink,Nebraska,2972.328,DSL,20.0,0.875,250,65.0,0.0,0.99,65.99,0.0,Yes
541,541,CenturyLink,Nebraska,3506.328,DSL,20.0,0.875,250,65.0,0.0,0.99,65.99,0.0,Yes
542,542,CenturyLink,Nebraska,1486.164,DSL,40.0,5.0,250,105.0,0.0,0.99,105.99,0.0,Yes
