,Percent Loss,unit_id,jitter_up,jitter_down,Speed_up,Speed_down,Latency
3955,0.026115279982,604642.0,1636.76462396,375.731197772,3587175.30055,7320520.70463,11816.9108635
3956,0.0627048434583,604644.0,1672.79955457,381.756495917,4816348.39108,12636467.1106,11429.5575353
3957,0.111560012354,604646.0,5448.20657277,526.15258216,4191994.085,11141447.1469,17214.657277
3958,0.448812710589,604648.0,1401.45760234,338.301169591,3750245.07714,13550177.6647,10607.6681287
3959,0.022456530573,604650.0,2247.73319892,404.335349462,3581162.27778,7376663.8983,14785.4610215
3960,0.503247047579,604652.0,5219.64763231,2150.63718663,636418.558659,2286439.46193,19509.5111421
3961,0.0876625471168,604654.0,4063.58241758,436.034340659,652841.581279,2316391.80678,13538.8228022
3962,0.0958341040516,604656.0,2209.26517795,602.401953943,630155.559889,2225540.52415,14555.1814375
3963,0.143675865485,178682.0,1703.58018868,4016.22798742,42766.212406,673305.060748,53696.3105346
3964,0.0426787784643,211498.0,1656.37457969,476.449226631,3550077.55556,7293152.56765,12650.332885
3965,0.0283253606267,211502.0,1530.91432584,336.048455056,5008504.27809,14462889.3319,10885.3574438
3966,0.0144557998734,211504.0,1602.35887097,271.844758065,4947647.63757,14601399.4029,10939.9435484
3967,0.0106657037199,211506.0,1318.94489247,172.971774194,5015135.2397,14672607.4382,10728.4926075
3968,0.0235726916825,211510.0,2133.01659125,502.395927602,4991800.79848,14841460.4744,15453.199095
3969,0.0223834745067,211518.0,594.503886926,1210.94134276,175436.786932,919115.465728,29682.3491166
3970,0.0417025365385,211520.0,1726.04201681,337.985994398,100499.817851,2825882.88828,37556.7591036
3971,0.067795222246,211524.0,956.733198925,150.044354839,1477402.56649,7417920.08961,30106.0188172
3972,0.0967356722816,211526.0,1400.47765568,571.436630037,652658.619048,6682702.18319,22251.2043956
3973,0.030846441927,211528.0,1008.7109375,641.763020833,102744.323461,1597048.73553,54417.1996528
3974,0.0391235711915,211530.0,1475.39516129,1503.98387097,,7217000.13889,11442.8324373
3975,0.034230326287,539340.0,982.889747191,974.250702247,52141.023023,307375.046512,68898.6264045
3976,0.285972913291,146214.0,10086.9218329,1250.68261456,77014.187276,365199.410842,87234.5990566
3977,0.0262627289517,146218.0,2925.15270506,481.764397906,1288673.70979,11186624.8957,16089.078534
3978,0.129488918729,146222.0,3757.39154161,1417.58049113,127810.193534,1981562.82836,15464.3526603
3979,0.0147113230577,146224.0,18799.6671168,3794.59554355,85984.0503145,346214.587387,94491.6617151
3980,0.51576810248,637764.0,1769.60965795,482.342052314,3478563.31102,7272198.32171,13080.9034205
3981,1.28406027316,637766.0,3143.6994302,866.481481481,3582688.54072,2855934.55769,13094.8361823
3982,0.0690907911382,637768.0,5310.34502924,321.355263158,3786703.85996,14196031.0755,14273.1067251
3983,0.0899887125482,637770.0,2054.91508053,532.633967789,159187.978431,1957060.786,38953.4084919
3984,0.0158200689465,637772.0,2054.93717277,790.738219895,158163.38046,1973436.97166,28294.1326353
3985,0.0171981485049,637774.0,1677.0113798,750.762446657,1499055.93126,10673534.3362,15939.1266003
3986,0.173981173163,637776.0,1753.075,631.033333333,2614556.9955,16794103.6216,15328.6
3987,0.200957104253,637778.0,3560.35909091,2363.42575758,79479.0185185,490976.676221,41590.2454545
3988,0.206214506273,637780.0,24661.0495627,1094.26676385,500894.340909,7835318.94129,61182.9693878
3989,0.0353203220427,637782.0,2002.63362069,314.522988506,1479680.55048,7422347.71169,28030.3247126
3990,0.866914878084,637788.0,1711.39548872,1381.82556391,107839.822667,1239744.54832,48335.8120301
3991,0.0432414291615,637790.0,3475.81975309,992.664197531,130630.15614,1909012.61489,29516.1382716
3992,1.59537697127,637792.0,7696.0855615,345.320855615,233624.04,2807272.70312,25879.1657754
3993,0.0880580607658,637796.0,6519.43030303,458.821212121,1477883.54433,7326313.00358,16243.9727273
3994,1.80071957538,637798.0,119137.306358,19874.2061657,264687.067941,605850.377483,759300.720617
3995,0.254121650908,637800.0,4830.12750716,416.111747851,643642.688571,6666744.50682,25618.0773639
3996,0.140551915884,637802.0,1375.59174964,367.72972973,1379591.53107,11674272.6855,31486.7780939
3997,1.43410475505,637806.0,1507.40598291,925.061253561,227660.125247,770639.236111,28225.8162393
3998,0.803470994697,637808.0,6542.36206897,223.561576355,1204888.64667,12965896.1991,19864.862069
3999,0.0472396219118,637810.0,2066.96327684,372.152542373,1493272.78531,7123647.47458,22911.7937853
4000,0.0885248349492,637814.0,1792.10734463,293.745762712,756660.627119,3637961.49058,21064.0762712
4001,0.382378053327,637816.0,3511.83717105,243.103618421,1358541.35651,7274136.97603,26826.3470395
4002,0.0323433600848,506836.0,1520.79771505,2741.05376344,1891544.25448,3091852.50493,23205.625672
4003,0.0263131231409,244754.0,4203.29576503,960.590846995,684280.131793,12892347.7024,27475.454918
4004,0.00273235720456,244756.0,448.64142539,224.420935412,9293105.54993,18993962.6339,7999.03006682
4005,0.146112579594,244758.0,1370.21539548,256.848870056,9163642.70084,18428020.39,11560.2754237
4006,0.2037777598,244768.0,2147.10529891,454.449728261,1490772.67613,7139161.55208,20477.5326087
4007,0.0315616791296,244772.0,2270.8125884,349.936350778,702376.191761,6826216.67426,24461.6280057
4008,0.0287224738477,244774.0,1624.87277702,306.595759234,2999983.61035,14907545.0263,17255.0465116
4009,0.425099757007,244778.0,11721.0593792,1733.29959514,784826.93862,2400950.09409,34981.2867746
4010,0.207704486878,244780.0,2839.22439024,1108.67317073,634046.113333,2640125.46199,26708.7414634
4011,0.041190232972,244782.0,2781.27083333,814.927083333,703691.796296,7019068.85211,28224.625
4012,0.00835758916531,244792.0,1374.31395349,324.098006645,753381.231343,3599333.9709,18725.0473422
4013,0.214793173658,244798.0,419.541523679,442.061770762,673050.211081,2825575.23947,53058.6321208
4014,0.470270793292,244800.0,1333.11095984,3520.96732471,1436429.9606,2253055.41166,35307.699115
4015,0.01907574893,244804.0,1953.59910913,1158.80029696,146108.5,2001307.4494,15979.7416481
4016,0.0546385607236,244806.0,1631.0856898,1072.72150814,128965.382514,1106417.46575,37210.6246787
4017,0.0288573245777,244812.0,3031.3356791,248.083743842,731605.000939,3544861.15962,21296.2441942
4018,0.0166171431155,244816.0,1488.42405914,2933.90389785,3117264.55914,3126819.50582,22269.2836022
